sp_id,gq_type,persons,stcotrbg,latitude,longitude
450003418,"C",240,"420639611022",40.615589,-79.159869
450004647,"C",1,"420639611013",40.62006470000001,-79.1691309
450004648,"C",1812,"420639611014",40.620456700000005,-79.1620932
450004649,"C",1556,"420639611021",40.618333899999996,-79.15734599999999
450008459,"P",497,"420639609002",40.647771999999996,-79.1002413
450010322,"P",498,"420639609002",40.6449007,-79.0964829
450022045,"P",10,"420639609002",40.641647799999994,-79.1106071
450030490,"N",23,"420639603002",40.751314,-78.886724
450030491,"N",49,"420639606003",40.629662599999996,-79.2166579
450030492,"N",52,"420639608002",40.6008959,-79.16258909999999
450030493,"N",13,"420639620002",40.472096,-79.195747
450030494,"N",11,"420639620002",40.459073,-79.208171
450036341,"N",23,"420639603002",40.7394548,-78.8572052
450036342,"N",101,"420639607004",40.6116442,-79.1725017
450036343,"N",98,"420639607004",40.6140037,-79.17636329999999
450036344,"N",51,"420639608002",40.5895815,-79.1615431
450042410,"N",18,"420639603002",40.721275,-78.80131300000001
