sp_id,gq_type,persons,stcotrbg,latitude,longitude
450003408,"C",418,"420171061002",40.1658092,-74.9095085
450003529,"C",12,"420171003021",40.0982274,-74.86889659999999
450003907,"C",847,"420171048001",40.297569700000004,-75.1582021
450004581,"C",201,"420171011001",40.15811420000001,-74.915586
450004582,"C",91,"420171046031",40.2850244,-75.174352
450007853,"P",220,"420171046033",40.274235100000006,-75.1364877
450007854,"P",219,"420171046033",40.2749236,-75.1341828
450008432,"P",219,"420171046033",40.275682200000006,-75.132041
450010319,"P",221,"420171046033",40.2783151,-75.1300437
450021910,"P",2,"420171001042",40.0972199,-74.9556299
450021911,"P",13,"420171001053",40.0770651,-74.95164790000001
450021912,"P",35,"420171002091",40.0893825,-74.935147
450021913,"P",10,"420171002091",40.0893825,-74.935147
450021914,"P",9,"420171004021",40.1345085,-74.8670364
450021915,"P",29,"420171008072",40.1854544,-74.907402
450021916,"P",9,"420171008072",40.1854544,-74.907402
450021917,"P",167,"420171008071",40.1788959,-74.8927875
450021918,"P",36,"420171008071",40.1788959,-74.8927875
450021919,"P",38,"420171008091",40.2183383,-74.8976554
450021920,"P",8,"420171008091",40.2183383,-74.8976554
450021921,"P",72,"420171061001",40.1776908,-74.921201
450021922,"P",23,"420171061001",40.1776908,-74.921201
450021923,"P",10,"420171016092",40.2042987,-75.08791049999999
450021924,"P",1,"420171016092",40.2042987,-75.08791049999999
450021925,"P",21,"420171016102",40.220988399999996,-75.10444749999999
450021926,"P",18,"420171016102",40.220988399999996,-75.10444749999999
450021927,"P",2,"420171019002",40.292384399999996,-75.2136072
450021928,"P",7,"420171019002",40.292384399999996,-75.2136072
450021929,"P",19,"420171027003",40.3781886,-75.32621280000001
450021930,"P",13,"420171027003",40.3781886,-75.32621280000001
450021931,"P",6,"420171065003",40.4551092,-75.3229901
450021932,"P",2,"420171065003",40.4551092,-75.3229901
450021933,"P",27,"420171039002",40.4573779,-75.0901818
450021934,"P",28,"420171039002",40.4573779,-75.0901818
450021935,"P",65,"420171046033",40.273967,-75.1344603
450021936,"P",10,"420171046033",40.273967,-75.1344603
450021937,"P",141,"420171046033",40.273967,-75.1344603
450021938,"P",6,"420171058071",40.1696486,-74.86115500000001
450030570,"N",45,"420171008072",40.1783054,-74.9105901
450030571,"N",45,"420171008072",40.182827,-74.916299
450030572,"N",164,"420171008083",40.2081381,-74.92120729999999
450030573,"N",109,"420171061002",40.163994,-74.90789529999999
450030574,"N",178,"420171016071",40.1869177,-75.0782831
450030575,"N",58,"420171026001",40.3249718,-75.32714820000001
450030576,"N",88,"420171027001",40.3446013,-75.30680190000001
450030577,"N",115,"420171064023",40.44248220000001,-75.3798603
450030578,"N",170,"420171031031",40.4368806,-75.3523699
450030579,"N",13,"420171042011",40.418467,-75.075412
450030580,"N",128,"420171047012",40.3197651,-75.1353572
450030581,"N",139,"420171047021",40.3159602,-75.1209941
450030582,"N",23,"420171052062",40.2336998,-74.93086600000001
450030583,"N",135,"420171055111",40.211929999999995,-74.856285
450036378,"N",166,"420171003033",40.1070225,-74.86879499999999
450036379,"N",48,"420171008041",40.1664207,-74.87875720000001
450036380,"N",44,"420171008072",40.18253,-74.9166681
450036381,"N",15,"420171016102",40.2166092,-75.1019031
450036382,"N",56,"420171026001",40.3283994,-75.32946679999999
450036383,"N",122,"420171065005",40.469505299999994,-75.3207562
450036384,"N",28,"420171046041",40.320704299999996,-75.17240579999999
450036385,"N",138,"420171047021",40.31456,-75.1249062
450036386,"N",88,"420171052022",40.220873,-74.94229140000002
450036387,"N",22,"420171052062",40.2336998,-74.93086600000001
450038429,"N",47,"420171008041",40.1663336,-74.878884
450038430,"N",13,"420171016102",40.215046,-75.1137369
450039250,"N",9,"420171002113",40.1408684,-74.9198596
450041331,"N",41,"420171008072",40.182744799999995,-74.91622729999999
450041332,"N",20,"420171041001",40.376939,-75.203553
450041333,"N",18,"420171052062",40.233930900000004,-74.93083
450042396,"N",7,"420171002113",40.14027479999999,-74.91345679999999
450042397,"N",50,"420171016111",40.210564500000004,-75.1372582
450042398,"N",48,"420171018031",40.2557614,-75.1405139
450042399,"N",128,"420171047032",40.301241499999996,-75.12840899999999
450046422,"N",78,"420171008081",40.2025001,-74.9353075
450046423,"N",41,"420171008091",40.2183383,-74.8976554
450046424,"N",144,"420171015042",40.172489399999996,-75.0541162
450046425,"N",100,"420171062001",40.2040027,-75.0647285
450046426,"N",59,"420171021041",40.3069234,-75.26785100000001
450046427,"N",8,"420171021043",40.3372072,-75.2890895
450046428,"N",121,"420171045023",40.300520500000005,-75.0354329
450046429,"N",353,"420171046033",40.273967,-75.1344602
450046430,"N",77,"420171050033",40.23758970000001,-75.0005213
450046431,"N",70,"420171050092",40.201558399999996,-74.976137
