sp_id,workers,latitude,longitude
511837365,16,40.827331799999996,-75.0775192
511764996,19,40.703851799999995,-74.4121994
513671104,14,40.045401899999995,-75.3992291
510960463,17,40.328581799999995,-74.7915293
513732446,26,40.2938219,-75.19774620000001
513758920,18,39.9346619,-75.1592392
510972830,18,40.2045519,-74.6901794
510870354,17,39.374063,-75.0706483
513783865,26,40.0023419,-75.11591920000001
513727643,15,40.2721649,-75.2137012
510837330,21,39.639503000000005,-74.18239559999999
513820637,22,40.1171259,-74.9074873
513781344,24,40.1062859,-75.1198162
513774675,17,40.0915219,-75.1335892
510958127,16,40.2747339,-74.8042083
510975833,22,40.314681799999995,-74.65402940000001
513817966,24,40.1742939,-74.9317533
513815598,26,40.072488899999996,-74.9478233
513819753,20,40.2297279,-74.9187833
513734365,17,39.9503839,-75.1926332
513813111,18,40.2036479,-74.9664693
513777307,22,40.1618839,-75.12902120000001
505529534,19,33.7888436,-84.4278468
513818790,12,40.1314489,-74.9236073
513668636,17,39.839842,-75.4027892
513855763,15,40.6250818,-75.4292591
513830532,24,40.220282899999994,-74.7952983
513702287,15,40.2369029,-75.2889022
511787741,13,40.79623170000001,-74.4823094
511734482,18,40.8223227,-74.3273214
513822937,29,40.1805629,-74.8817573
513788783,17,40.3082159,-75.0959392
513670574,21,40.27648189999999,-75.39593909999999
513733293,30,40.1770439,-75.1943772
513742592,14,39.9125319,-75.1759692
510879805,16,39.753671999999995,-75.3662692
513785776,20,40.1908129,-75.1042352
513844484,22,40.3796749,-75.3194032
513826233,20,40.1037519,-74.8519713
513855155,24,40.641312799999994,-75.4301521
513828123,24,40.133415899999996,-74.83347629999999
513798431,18,40.1612909,-75.05415529999999
511808755,22,40.5499218,-74.6123094
513851045,22,40.626731799999995,-75.3822191
510974456,19,40.175754299999994,-74.668137
513833082,16,40.339340899999996,-75.1360492
512931211,20,34.8542033,-82.24082740000001
513813437,19,40.07168789999999,-74.9654233
510975875,20,40.2858919,-74.65594940000001
510981047,19,40.2844318,-74.55907940000002
511472569,26,40.6840367,-73.9841256
513762621,21,40.009321899999996,-75.1541492
513721683,18,40.0971219,-75.2283812
513662312,20,40.003682899999994,-75.44232109999999
513804291,19,40.080751899999996,-75.0282993
513683272,22,40.1139009,-75.3452142
510918346,14,39.8942139,-75.1280842
513830867,23,40.20703889999999,-74.7732493
511817935,20,40.3494518,-74.6630194
513814250,26,40.204189899999996,-74.9599233
513644672,25,39.997873,-75.58093840000001
511108870,14,40.783241700000005,-73.4164197
513705462,17,40.2832319,-75.2811092
511564168,18,40.7430407,-74.0076255
513808294,13,40.215607899999995,-75.0082253
513753390,18,39.9285419,-75.1653292
513849023,11,40.5349818,-75.3636191
513738059,19,40.2945859,-75.1812562
511833949,22,40.3688718,-74.9439993
510959000,16,39.9632929,-74.79829029999999
513773643,25,40.1374619,-75.13585920000001
510835380,22,39.0538651,-74.76133440000001
508439436,32,39.2834521,-76.58462879999999
513687100,12,40.325731899999994,-75.3366692
511766062,19,40.854961700000004,-74.4141994
513658088,21,40.2680589,-75.4745701
513652824,19,40.2310419,-75.52299909999999
513830090,20,40.2163469,-74.80955329999999
513771082,25,40.043951899999996,-75.1408292
