sp_id,sp_gq_id,sporder,age,sex
942566236,450021910,1,31,1
942566237,450021910,1,35,1
942566245,450021911,1,17,1
942566246,450021911,1,17,1
942566247,450021911,1,36,1
942566248,450021911,1,26,1
942566249,450021911,1,26,1
942566250,450021911,1,41,1
942566238,450021911,1,17,1
942566239,450021911,1,17,1
942566240,450021911,1,17,1
942566241,450021911,1,17,1
942566242,450021911,1,17,1
942566243,450021911,1,13,1
942566244,450021911,1,13,1
942566778,450021912,1,13,1
942566761,450021912,1,17,1
942566762,450021912,1,15,1
942566763,450021912,1,16,1
942566764,450021912,1,17,1
942566765,450021912,1,17,1
942566766,450021912,1,14,1
942566767,450021912,1,15,1
942566768,450021912,1,14,1
942566769,450021912,1,17,1
942566770,450021912,1,13,1
942566771,450021912,1,14,1
942566772,450021912,1,17,1
942566773,450021912,1,17,1
942566774,450021912,1,17,1
942566775,450021912,1,17,1
942566776,450021912,1,15,1
942566777,450021912,1,17,1
942566760,450021912,1,16,1
942566746,450021912,1,17,1
942566747,450021912,1,17,1
942566748,450021912,1,17,1
942566749,450021912,1,17,1
942566750,450021912,1,15,1
942566751,450021912,1,17,1
942566752,450021912,1,17,1
942566753,450021912,1,17,1
942566754,450021912,1,17,1
942566755,450021912,1,16,1
942566756,450021912,1,14,1
942566757,450021912,1,17,1
942566758,450021912,1,13,1
942566759,450021912,1,15,1
942566779,450021912,1,50,1
942566780,450021912,1,46,1
942566790,450021913,1,27,1
942566783,450021913,1,52,1
942566784,450021913,1,32,1
942566785,450021913,1,41,1
942566786,450021913,1,24,1
942566787,450021913,1,28,1
942566788,450021913,1,47,1
942566789,450021913,1,36,1
942566781,450021913,1,44,1
942566782,450021913,1,30,1
939959108,450039250,1,98,2
939959107,450039250,1,85,2
939959109,450039250,1,82,2
939959110,450039250,1,100,2
939959106,450039250,1,99,2
939346046,450039250,1,56,2
939959105,450039250,1,87,2
939959104,450039250,1,87,2
939959103,450039250,1,84,2
940087676,450042396,1,89,2
940087677,450042396,1,80,2
940087672,450042396,1,91,2
940087671,450042396,1,91,2
940087673,450042396,1,90,2
940087674,450042396,1,90,2
940087675,450042396,1,87,2
938349451,450003529,1,22,1
938349450,450003529,1,18,1
938349446,450003529,1,19,1
938349455,450003529,1,20,1
938349454,450003529,1,21,1
938349456,450003529,1,18,1
938349457,450003529,1,21,2
938349453,450003529,1,18,1
938349452,450003529,1,18,1
938349449,450003529,1,19,1
938349448,450003529,1,22,1
938349447,450003529,1,18,1
939857393,450036378,1,101,2
940353373,450036378,1,62,1
940353374,450036378,1,19,1
940353375,450036378,1,45,1
940353376,450036378,1,62,1
940353377,450036378,1,60,1
940353378,450036378,1,56,1
940353379,450036378,1,57,1
940353380,450036378,1,52,1
940353381,450036378,1,25,1
940353382,450036378,1,26,1
940353383,450036378,1,55,1
940353384,450036378,1,57,1
940353385,450036378,1,57,1
940353386,450036378,1,20,1
940353387,450036378,1,38,1
940353388,450036378,1,62,1
940353389,450036378,1,52,1
940353390,450036378,1,61,1
940353391,450036378,1,59,1
939857392,450036378,1,94,2
939857391,450036378,1,81,2
939857390,450036378,1,85,2
939857389,450036378,1,85,2
939857388,450036378,1,84,2
939857387,450036378,1,79,2
939857386,450036378,1,79,2
939857385,450036378,1,71,2
939857384,450036378,1,88,2
939857383,450036378,1,79,2
939857382,450036378,1,69,2
939857381,450036378,1,87,2
939857380,450036378,1,78,2
939857379,450036378,1,68,2
939857378,450036378,1,84,2
939857377,450036378,1,90,2
939857376,450036378,1,98,2
939857375,450036378,1,84,2
939857374,450036378,1,87,2
939857373,450036378,1,99,2
939857372,450036378,1,74,2
939857371,450036378,1,90,2
939857370,450036378,1,78,2
939857369,450036378,1,99,2
939857368,450036378,1,68,2
939857367,450036378,1,75,2
939857366,450036378,1,79,2
939857365,450036378,1,86,2
939857364,450036378,1,90,2
939857363,450036378,1,76,2
939857362,450036378,1,85,2
940610391,450036378,1,76,1
940610390,450036378,1,93,1
940610389,450036378,1,89,1
940610388,450036378,1,96,1
940610387,450036378,1,69,1
940610386,450036378,1,100,1
940610385,450036378,1,78,1
940610384,450036378,1,85,1
940610383,450036378,1,86,1
940610382,450036378,1,80,1
940610381,450036378,1,83,1
940610380,450036378,1,79,1
940610379,450036378,1,79,1
940610378,450036378,1,95,1
940610377,450036378,1,80,1
940610376,450036378,1,84,1
940610375,450036378,1,74,1
940610374,450036378,1,86,1
940610373,450036378,1,84,1
940610372,450036378,1,66,1
940610371,450036378,1,71,1
940610370,450036378,1,87,1
940610369,450036378,1,82,1
940610368,450036378,1,67,1
940610367,450036378,1,68,1
940610366,450036378,1,84,1
940610365,450036378,1,77,1
940610364,450036378,1,73,1
940610363,450036378,1,68,1
940610362,450036378,1,78,1
940610361,450036378,1,83,1
940610359,450036378,1,90,1
940610358,450036378,1,79,1
940610357,450036378,1,79,1
940610356,450036378,1,88,1
940610355,450036378,1,90,1
940610354,450036378,1,75,1
940610353,450036378,1,91,1
940610352,450036378,1,81,1
940610351,450036378,1,81,1
940610350,450036378,1,85,1
940610349,450036378,1,88,1
940610360,450036378,1,78,1
939355772,450036378,1,58,2
939857457,450036378,1,88,2
939857456,450036378,1,92,2
939355773,450036378,1,64,2
939355774,450036378,1,53,2
939355775,450036378,1,62,2
939355776,450036378,1,55,2
939355777,450036378,1,58,2
939355778,450036378,1,59,2
939355779,450036378,1,60,2
939857455,450036378,1,91,2
939857454,450036378,1,85,2
939857453,450036378,1,88,2
