sp_id,gq_type,persons,stcotrbg,latitude,longitude
450003528,"C",432,"420131008001",40.5406817,-78.40911159999999
450004580,"C",450,"420130107002",40.547744099999996,-78.39477149999999
450008708,"P",226,"420130112004",40.4283926,-78.3911954
450021904,"P",2,"420130112003",40.431362799999995,-78.3944803
450021905,"P",4,"420130112003",40.431362799999995,-78.3944803
450021906,"P",49,"420130112004",40.4271629,-78.3847968
450021907,"P",5,"420131003002",40.501045,-78.41335440000002
450021908,"P",4,"420131006001",40.531693,-78.4013126
450030428,"N",80,"420130104023",40.557992,-78.342505
450030429,"N",130,"420130109002",40.440214000000005,-78.392574
450030430,"N",70,"420130112005",40.423697,-78.40164399999999
450030431,"N",38,"420130113002",40.3062532,-78.32783609999998
450030432,"N",50,"420131015004",40.489641,-78.402408
450030433,"N",48,"420131015004",40.489641,-78.402408
450030434,"N",46,"420131019001",40.51722720000001,-78.39895729999999
450036368,"N",128,"420130101021",40.6706345,-78.2419583
450036369,"N",473,"420130110021",40.448600299999995,-78.40425520000001
450036370,"N",30,"420130112001",40.434946999999994,-78.3876855
450036371,"N",29,"420130112001",40.4349506,-78.3876609
450036372,"N",38,"420130113002",40.3063364,-78.3277901
450036373,"N",37,"420130113002",40.3063364,-78.3277901
450036374,"N",7,"420131005001",40.5191014,-78.40263
450036375,"N",7,"420131005001",40.5190686,-78.40267
450036376,"N",5,"420131005001",40.5184427,-78.40151180000001
450036377,"N",225,"420131018001",40.5144368,-78.3771156
450037907,"N",69,"420130112005",40.426511,-78.39822170000001
450039248,"N",12,"420131005003",40.5167261,-78.41140779999999
450040304,"N",12,"420130112003",40.430945,-78.3959538
450041326,"N",11,"420130112003",40.4332757,-78.38646999999999
450041327,"N",30,"420130113002",40.3063364,-78.3277901
450041328,"N",43,"420131019001",40.5177794,-78.39801690000002
450042395,"N",28,"420130112001",40.431574,-78.3824316
450046418,"N",100,"420130108002",40.4502536,-78.17326659999999
450046419,"N",37,"420130111004",40.391325200000004,-78.41107459999999
450046420,"N",143,"420130113003",40.2917567,-78.3409345
450046421,"N",29,"420131012004",40.4800672,-78.3986284
