sp_id,serialno,stcotrbg,hh_race,hh_income,hh_size,hh_age,latitude,longitude
21156745,2009000388518,"420750001001",1,33200,24,1,40.343297799999995,-76.41217890000001
21156746,2009000388518,"420750001001",1,11900,24,1,40.3395401,-76.4117664
21156747,2009000388518,"420750001001",1,8000,24,0,40.339288399999994,-76.4135068
21156748,2009000388518,"420750001001",1,12000,24,0,40.3388762,-76.4138017
21156749,2009000388518,"420750001001",1,7100,24,2,40.339271999999994,-76.4120844
21156750,2009000388518,"420750001001",1,90000,24,1,40.339288200000006,-76.4119946
21156751,2009000388518,"420750001001",1,53200,24,0,40.3393394,-76.4118208
21156752,2009000388518,"420750001001",1,120000,24,1,40.3388287,-76.4135579
21156753,2009000388518,"420750001001",1,85000,24,0,40.339260100000004,-76.4135585
21156754,2009000388518,"420750001001",1,60000,24,1,40.3390016,-76.413628
21156755,2009000388518,"420750001001",1,10000,24,2,40.33929129999999,-76.4136075
21156756,2009000388518,"420750001001",1,88000,24,1,40.339256400000004,-76.41417270000001
21156757,2009000388518,"420750001001",1,50000,24,2,40.339200500000004,-76.4136718
21156758,2009000388518,"420750001001",1,85000,24,2,40.3388647,-76.4144084
21156759,2009000388518,"420750001001",1,80400,24,0,40.3390779,-76.41396850000001
21156760,2009000388518,"420750001001",1,26066,24,1,40.3391623,-76.41380440000002
21156761,2009000388518,"420750001001",1,50100,24,2,40.3386982,-76.41357009999999
21156762,2009000388518,"420750001001",1,54800,24,2,40.33768,-76.41694140000001
21156763,2009000388518,"420750001001",1,11100,24,2,40.337532,-76.4172454
21156764,2009000388518,"420750001001",1,10700,24,2,40.3378371,-76.41626459999999
21156765,2009000388518,"420750001001",1,9300,24,2,40.3380333,-76.41729120000001
21156766,2009000388518,"420750001001",1,80000,24,1,40.337563200000005,-76.41737940000002
21156767,2009000388518,"420750001001",1,121400,24,1,40.33736939999999,-76.4170808
21156768,2009000388518,"420750001001",1,18890,24,2,40.338002200000005,-76.4165113
21156769,2009000388518,"420750001001",1,10000,24,2,40.3421555,-76.4133777
21156770,2009000388518,"420750001001",1,56900,24,0,40.34304,-76.4157073
21156771,2009000388518,"420750001001",1,20000,24,1,40.3431114,-76.4162965
21156772,2009000388518,"420750001001",1,12300,24,1,40.3387258,-76.41502209999999
21156773,2009000388518,"420750001001",1,49000,24,1,40.338706200000004,-76.41531690000001
21156774,2009000388518,"420750001001",1,10000,24,1,40.3377191,-76.41706140000001
21156775,2009000388518,"420750001001",1,32300,24,0,40.3376138,-76.41723540000001
21156776,2009000388518,"420750001001",1,13400,24,0,40.3387468,-76.41588780000001
21156777,2009000388518,"420750001001",1,53000,24,1,40.33852460000001,-76.41591609999999
21156778,2009000388518,"420750001001",1,22000,24,1,40.3377256,-76.417396
21156779,2009000388518,"420750001001",1,12000,24,1,40.3382701,-76.415164
21156780,2009000388518,"420750001001",1,12200,24,2,40.337999700000005,-76.41526479999999
21156781,2009000388518,"420750001001",1,14200,24,2,40.3382534,-76.41510759999998
21156782,2009000388518,"420750001001",1,15000,24,0,40.3379583,-76.415166
21156783,2009000388518,"420750001001",1,26000,24,1,40.3381646,-76.4151429
21156784,2009000388518,"420750001001",1,11200,24,0,40.3395145,-76.4145458
21156785,2009000388518,"420750001001",1,85100,24,2,40.339417,-76.4151325
21156786,2009000388518,"420750001001",1,13400,24,0,40.339162200000004,-76.4148055
21156787,2009000388518,"420750001001",1,54600,24,2,40.3383074,-76.4151663
21156788,2009000388518,"420750001001",1,64000,24,0,40.33914179999999,-76.41478609999999
21156789,2009000388518,"420750001001",1,74000,24,0,40.3390923,-76.4151541
21156790,2009000388518,"420750001001",1,16000,24,1,40.3385096,-76.4149985
21156791,2009000388518,"420750001001",1,60180,24,1,40.3423365,-76.41211070000001
21156792,2009000388518,"420750001001",1,56300,24,2,40.3406262,-76.4119126
21156793,2009000388518,"420750001001",1,18400,24,0,40.337503399999996,-76.4134636
21156794,2009000388518,"420750001001",1,50500,24,3,40.3383157,-76.4173392
21156795,2009000388518,"420750001001",1,77000,24,1,40.3394646,-76.41468459999999
21156796,2009000388518,"420750001001",1,10000,24,1,40.339571299999996,-76.4154028
21156797,2009000388518,"420750001001",1,96000,24,0,40.3385382,-76.41757340000001
21156798,2009000388518,"420750001001",1,21600,24,2,40.338907299999995,-76.417629
21156799,2009000388518,"420750001001",1,90000,24,0,40.3402242,-76.41291700000001
21156800,2009000388518,"420750001001",1,82000,24,0,40.3402265,-76.415977
21156801,2009000388518,"420750001001",1,59004,24,0,40.341272499999995,-76.4171605
21156802,2009000388518,"420750001001",1,26066,24,1,40.341123100000004,-76.4171405
21156803,2009000388518,"420750001001",1,79000,24,3,40.3406338,-76.4163795
21156804,2009000388518,"420750001001",1,23800,24,1,40.3374313,-76.4160628
21156805,2009000388518,"420750001001",1,58800,24,2,40.337881599999996,-76.41576740000001
21156806,2009000388518,"420750001001",1,49700,24,3,40.337644399999995,-76.415102
21156807,2009000388518,"420750001001",1,5610,24,1,40.3376859,-76.41589959999999
21156808,2009000388518,"420750001001",1,11000,24,1,40.337759000000005,-76.4158113
21156809,2009000388518,"420750001001",1,125000,24,1,40.3373622,-76.41583320000001
21156810,2009000388518,"420750001001",1,122004,24,1,40.339828499999996,-76.4170364
21156811,2009000388518,"420750001001",1,13800,24,0,40.3390985,-76.4171134
21156812,2009000388518,"420750001001",1,7700,24,2,40.3398036,-76.4178079
21156813,2009000388518,"420750001001",1,48300,24,1,40.3395652,-76.4172947
21156814,2009000388518,"420750001001",1,25000,24,1,40.3397024,-76.4172449
21156815,2009000388518,"420750001001",1,59700,24,0,40.3392361,-76.4170838
21156816,2009000388518,"420750001001",1,9600,24,1,40.339796299999996,-76.41768309999999
21156817,2009000388518,"420750001001",1,49000,24,0,40.3398422,-76.41718759999999
21156818,2009000388518,"420750001001",1,9300,24,2,40.339534,-76.4170015
21156819,2009000388518,"420750001001",1,10000,24,0,40.3393025,-76.4174267
21156820,2009000388518,"420750001001",1,86300,24,1,40.3391951,-76.4170979
21156821,2009000388518,"420750001001",1,101020,24,1,40.3399284,-76.4173027
21156822,2009000388518,"420750001001",1,77000,24,3,40.339567100000004,-76.4174656
21156823,2009000388518,"420750001001",1,53000,24,1,40.3387094,-76.4168522
21156824,2009000388518,"420750001001",1,18000,24,0,40.338910600000006,-76.41674609999998
21156825,2009000388518,"420750001001",1,12680,24,2,40.3383894,-76.4167578
21156826,2009000388518,"420750001001",1,199800,24,1,40.338402,-76.41629609999998
21156827,2009000388518,"420750001001",1,64300,24,1,40.3385934,-76.4160714
21156828,2009000388518,"420750001001",1,12000,24,0,40.3382177,-76.4164717
21156829,2009000388518,"420750001001",1,14200,24,0,40.338396200000005,-76.4167136
21156830,2009000388518,"420750001001",1,15000,24,3,40.338445,-76.4171188
21156831,2009000388518,"420750001001",1,67820,24,0,40.3386023,-76.4160464
21156832,2009000388518,"420750001001",1,12000,24,0,40.3387906,-76.4164105
21156833,2009000388518,"420750001001",1,90920,24,3,40.3386615,-76.41608719999999
21156834,2009000388518,"420750001001",1,58500,24,0,40.3389681,-76.41670440000001
