sp_id,sp_hh_id,serialno,stcotrbg,age,sex,race,sporder,relate,sp_school_id,sp_work_id
164096482,20634148,2007000946432,"420099609001",75,2,1,1,0,,
164102057,20622362,2007000946432,"420099608003",51,2,1,1,0,,
164102058,20622362,2007000946432,"420099610002",54,1,1,1,1,,
164102059,20630730,2007000946432,"420099610002",51,2,1,1,0,,
164102061,20631676,2007000946432,"420099608003",51,2,1,1,0,,
164102062,20631676,2007000946432,"420099606002",54,1,1,1,1,,
164102064,20632002,2007000946432,"420099608004",54,1,1,1,1,,
164105875,20619903,2007000946432,"420099606002",88,1,1,1,1,,
164105876,20621013,2007000946432,"420099610002",87,2,1,1,0,,
164105879,20624676,2007000946432,"420099606002",88,1,1,1,1,,
164182279,20626056,2007000946432,"420099606002",12,1,1,1,2,450122303,
164182280,20626056,2007000946432,"420099608001",33,2,1,1,1,,513518873
164182283,20626832,2007000946432,"420099609001",12,1,1,1,2,450122303,
164182286,20690784,2007000946432,"420099608004",52,1,1,1,0,,508536791
164182287,20690784,2007000946432,"420099610002",12,1,1,1,2,450108335,
164182288,20690784,2007000946432,"420099608001",33,2,1,1,1,,508537226
164305454,20617913,2007000946432,"420099606002",60,2,1,1,1,,513923703
164305458,20623469,2007000946432,"420099606002",60,2,1,1,1,,513518212
164305459,20623469,2007000946432,"420099608001",60,1,1,1,0,,
164305461,20628654,2007000946432,"420099608004",60,1,1,1,0,,
164305462,20632224,2007000946432,"420099610002",60,2,1,1,1,,513518196
164480405,20630825,2007000946432,"420099610002",54,1,1,1,0,,513518011
164480406,20631444,2007000946432,"420099608004",54,1,1,1,0,,517107214
164480407,20633784,2007000946432,"420099608003",54,1,1,1,0,,513516271
164571157,20620805,2007000946432,"420099608004",20,1,1,1,2,,513518269
164571159,20620805,2007000946432,"420099608003",11,1,1,1,2,450114475,
164764685,20623478,2007000946432,"420099609001",60,1,1,1,0,,
164764686,20623478,2007000946432,"420099608004",57,2,6,1,1,,
164764687,20624900,2007000946432,"420099609001",60,1,1,1,0,,
164764690,20635947,2007000946432,"420099608004",57,2,6,1,1,,
164909394,20618251,2007000946432,"420099608004",9,2,1,1,2,450118219,
164909396,20618251,2007000946432,"420099608004",57,1,1,1,9,,
164909397,20618251,2007000946432,"420099606002",43,2,1,1,0,,513518257
164909398,20618251,2007000946432,"420099608001",18,2,1,1,2,,
164909400,20620350,2007000946432,"420099608004",0,2,1,1,5,,
164909401,20620350,2007000946432,"420099608003",57,1,1,1,9,,
164909402,20620350,2007000946432,"420099608004",43,2,1,1,0,,513516737
164909403,20620350,2007000946432,"420099608003",18,2,1,1,2,,
164909405,20620789,2007000946432,"420099610002",0,2,1,1,5,,
164909407,20620789,2007000946432,"420099608001",43,2,1,1,0,,513517396
164909408,20620789,2007000946432,"420099606002",18,2,1,1,2,,
164909412,20621480,2007000946432,"420099608003",43,2,1,1,0,,513518257
164909413,20621480,2007000946432,"420099610002",18,2,1,1,2,,
164909415,20621550,2007000946432,"420099609001",0,2,1,1,5,,
164909416,20621550,2007000946432,"420099608001",57,1,1,1,9,,
164909417,20621550,2007000946432,"420099610002",43,2,1,1,0,,513518130
164909418,20621550,2007000946432,"420099608004",18,2,1,1,2,,
164909422,20623278,2007000946432,"420099608004",43,2,1,1,0,,513519911
164909431,20624680,2007000946432,"420099609001",57,1,1,1,9,,
164909432,20624680,2007000946432,"420099608003",43,2,1,1,0,,513528737
164909434,20633016,2007000946432,"420099609001",9,2,1,1,2,450144031,
164909435,20633016,2007000946432,"420099608004",0,2,1,1,5,,
164909437,20633016,2007000946432,"420099608003",43,2,1,1,0,,513918467
164909438,20633016,2007000946432,"420099608004",18,2,1,1,2,,
164909439,20633607,2007000946432,"420099606002",9,2,1,1,2,450138999,
164909440,20633607,2007000946432,"420099608004",0,2,1,1,5,,
164909443,20633607,2007000946432,"420099608001",18,2,1,1,2,,
164909446,20635955,2007000946432,"420099608004",57,1,1,1,9,,
164909450,20691293,2007000946432,"420099608003",0,2,1,1,5,,
164909451,20691293,2007000946432,"420099608001",57,1,1,1,9,,
164909452,20691293,2007000946432,"420099610002",43,2,1,1,0,,508537226
164973154,20623301,2007000946432,"420099608004",85,1,1,1,0,,
164991748,20624469,2007000946432,"420099608004",28,2,1,1,2,,513922215
164991750,20632586,2007000946432,"420099609001",52,2,1,1,0,,513558218
164991753,20632586,2007000946432,"420099608004",5,1,1,1,5,450114472,
164991755,20633400,2007000946432,"420099608003",17,2,1,1,2,450108340,
164991757,20633400,2007000946432,"420099610002",5,1,1,1,5,450114472,
164991758,20635067,2007000946432,"420099608004",52,2,1,1,0,,513519865
164991759,20635067,2007000946432,"420099608003",17,2,1,1,2,450108340,
164991764,20691446,2007000946432,"420099609001",28,2,1,1,2,,508536959
165045573,20620668,2007000946432,"420099606002",22,2,1,1,12,,513516214
165045574,20620668,2007000946432,"420099608004",52,2,1,1,0,,513517049
165045576,20620668,2007000946432,"420099608004",24,1,1,1,2,,
165045578,20620668,2007000946432,"420099608003",0,1,1,1,5,,
165045579,20621394,2007000946432,"420099608001",22,2,1,1,12,,513516927
165045580,20621394,2007000946432,"420099608003",52,2,1,1,0,,513519132
165045582,20621394,2007000946432,"420099608004",24,1,1,1,2,,
165045584,20621394,2007000946432,"420099610002",0,1,1,1,5,,
165045585,20622444,2007000946432,"420099608004",22,2,1,1,12,,513919655
165045586,20622444,2007000946432,"420099608003",52,2,1,1,0,,513519345
165045588,20622444,2007000946432,"420099609001",24,1,1,1,2,,
165045589,20622444,2007000946432,"420099606002",21,1,1,1,2,,513519345
165045590,20622444,2007000946432,"420099609001",0,1,1,1,5,,
165045594,20623121,2007000946432,"420099608004",24,1,1,1,2,,
165045597,20623317,2007000946432,"420099608004",22,2,1,1,12,,513517972
165045598,20623317,2007000946432,"420099608003",52,2,1,1,0,,513920490
165045599,20623317,2007000946432,"420099608003",45,1,1,1,1,,508533678
165045602,20623317,2007000946432,"420099608003",0,1,1,1,5,,
165045604,20624278,2007000946432,"420099608001",52,2,1,1,0,,513535150
165045605,20624278,2007000946432,"420099610002",45,1,1,1,1,,513519562
165045607,20624278,2007000946432,"420099608004",21,1,1,1,2,,513518873
165045608,20624278,2007000946432,"420099608004",0,1,1,1,5,,
165045609,20624973,2007000946432,"420099610002",22,2,1,1,12,,513522415
165045610,20624973,2007000946432,"420099608003",52,2,1,1,0,,513518935
165045612,20624973,2007000946432,"420099608004",24,1,1,1,2,,
165045614,20624973,2007000946432,"420099608001",0,1,1,1,5,,
165045616,20625005,2007000946432,"420099606002",52,2,1,1,0,,513519767
165045620,20625005,2007000946432,"420099606002",0,1,1,1,5,,
165045623,20625814,2007000946432,"420099608004",45,1,1,1,1,,513519132
165045625,20625814,2007000946432,"420099610002",21,1,1,1,2,,513519107
165045628,20626021,2007000946432,"420099608001",52,2,1,1,0,,513520345
165045632,20626021,2007000946432,"420099608004",0,1,1,1,5,,
165045634,20626936,2007000946432,"420099606002",52,2,1,1,0,,513517802
165045635,20626936,2007000946432,"420099609001",45,1,1,1,1,,513519064
165045641,20628217,2007000946432,"420099608003",45,1,1,1,1,,513518127
165045644,20628217,2007000946432,"420099609001",0,1,1,1,5,,
165045646,20628977,2007000946432,"420099608004",52,2,1,1,0,,513518182
165045647,20628977,2007000946432,"420099606002",45,1,1,1,1,,513518196
165045649,20628977,2007000946432,"420099608003",21,1,1,1,2,,513518291
165045651,20632921,2007000946432,"420099606002",22,2,1,1,12,,513518348
165045655,20632921,2007000946432,"420099608004",21,1,1,1,2,,513518218
165045656,20632921,2007000946432,"420099606002",0,1,1,1,5,,
165045657,20691475,2007000946432,"420099606002",22,2,1,1,12,,513517090
165045660,20691475,2007000946432,"420099609001",24,1,1,1,2,,
165116882,20618062,2007000946432,"420099608004",52,1,1,1,0,,
165116883,20618111,2007000946432,"420099610002",52,1,1,1,0,,
165116884,20622673,2007000946432,"420099606002",52,1,1,1,0,,
165116885,20625198,2007000946432,"420099608003",52,1,1,1,0,,
165116887,20626959,2007000946432,"420099606002",52,1,1,1,0,,
165116888,20627875,2007000946432,"420099609001",52,1,1,1,0,,
165116891,20631831,2007000946432,"420099606002",52,1,1,1,0,,
165116894,20633525,2007000946432,"420099608004",52,1,1,1,0,,
165116895,20690947,2007000946432,"420099608003",52,1,1,1,0,,
165122528,20634486,2007000946432,"420099608001",54,2,1,1,1,,513518158
165134719,20617456,2007000946432,"420099609001",54,1,1,1,1,,513518376
165134721,20620069,2007000946432,"420099609001",54,1,1,1,1,,513518642
165134725,20625000,2007000946432,"420099608004",54,1,1,1,1,,508532157
165134729,20627081,2007000946432,"420099610002",54,1,1,1,1,,513519178
165134732,20628124,2007000946432,"420099609001",53,2,1,1,0,,513518170
165172069,20622280,2007000946432,"420099608003",41,1,1,1,10,,513519345
165172071,20622280,2007000946432,"420099608004",44,2,1,1,0,,
165172073,20622280,2007000946432,"420099609001",20,2,1,1,2,,
165172074,20622280,2007000946432,"420099606002",19,1,1,1,2,,
165172076,20622280,2007000946432,"420099610002",9,1,1,1,2,450145256,
165172079,20623921,2007000946432,"420099610002",0,2,1,1,5,,
165172082,20623921,2007000946432,"420099608003",20,2,1,1,2,,
165172083,20623921,2007000946432,"420099609001",19,1,1,1,2,,
165172085,20623921,2007000946432,"420099608001",9,1,1,1,2,450145256,
165172089,20629956,2007000946432,"420099608004",44,2,1,1,0,,
165172093,20629956,2007000946432,"420099609001",15,1,1,1,2,450114476,
165172094,20629956,2007000946432,"420099610002",9,1,1,1,2,450108324,
165172095,20629956,2007000946432,"420099608001",1,2,1,1,5,,
165172096,20632687,2007000946432,"420099608004",41,1,1,1,10,,513514286
165172097,20632687,2007000946432,"420099608004",0,2,1,1,5,,
165172098,20632687,2007000946432,"420099608001",44,2,1,1,0,,
165172099,20632687,2007000946432,"420099610002",22,1,1,1,2,,513518468
165172100,20632687,2007000946432,"420099608001",20,2,1,1,2,,
165172102,20632687,2007000946432,"420099609001",15,1,1,1,2,450108340,
165172103,20632687,2007000946432,"420099610002",9,1,1,1,2,450144031,
165172104,20632687,2007000946432,"420099609001",1,2,1,1,5,,
165234298,20617382,2007000946432,"420099608004",74,2,1,1,0,,
165281821,20618431,2007000946432,"420099608003",66,1,1,1,0,,
165281822,20621676,2007000946432,"420099608001",66,1,1,1,0,,
165281824,20629193,2007000946432,"420099608003",66,1,1,1,0,,
165281825,20631108,2007000946432,"420099606002",66,1,1,1,0,,
165301124,20617514,2007000946432,"420099609001",64,2,1,1,0,,
165301126,20622042,2007000946432,"420099608003",64,2,1,1,0,,
165301127,20622874,2007000946432,"420099608004",64,2,1,1,0,,
165301129,20627208,2007000946432,"420099608004",64,2,1,1,0,,
165301131,20630413,2007000946432,"420099608003",64,2,1,1,0,,
165301134,20691756,2007000946432,"420099608004",64,2,1,1,0,,
165361381,20619348,2007000946432,"420099608004",33,1,1,1,12,,
165361382,20626425,2007000946432,"420099606002",61,1,1,1,0,,513518878
165361383,20626425,2007000946432,"420099610002",33,1,1,1,12,,
165361384,20632470,2007000946432,"420099608001",61,1,1,1,0,,513518380
165361388,20633317,2007000946432,"420099608003",61,1,1,1,0,,513518196
165361389,20633317,2007000946432,"420099608004",33,1,1,1,12,,
165372605,20622844,2007000946432,"420099610002",5,1,1,1,2,450145256,
165372607,20622844,2007000946432,"420099609001",30,2,1,1,1,,513518873
165372608,20631403,2007000946432,"420099608003",32,1,1,1,0,,513517340
165372609,20631403,2007000946432,"420099609001",5,1,1,1,2,450108324,
165387371,20618544,2007000946432,"420099609001",21,2,1,1,1,,513518400
165387373,20621008,2007000946432,"420099608004",21,2,1,1,1,,513518400
165387375,20622009,2007000946432,"420099610002",21,2,1,1,1,,513520276
165387376,20622009,2007000946432,"420099608004",24,1,1,1,0,,513518809
165387377,20628628,2007000946432,"420099609001",21,2,1,1,1,,513519788
165387379,20631079,2007000946432,"420099608001",21,2,1,1,1,,513514892
165449367,20620178,2007000946432,"420099609001",41,2,1,1,0,,508441595
165449368,20620178,2007000946432,"420099608003",17,2,1,1,2,450114476,
165449369,20620178,2007000946432,"420099608004",7,2,1,1,2,450114472,
165491906,20629717,2007000946432,"420099610002",53,2,1,1,0,,513518432
165638509,20628029,2007000946432,"420099609001",94,2,1,1,0,,
165648293,20618086,2007000946432,"420099609001",27,1,1,1,0,,513521657
165648294,20618086,2007000946432,"420099610002",3,1,1,1,12,450066968,
165648295,20618086,2007000946432,"420099608004",21,2,1,1,10,,513519440
165648296,20621652,2007000946432,"420099608004",27,1,1,1,0,,513516713
165648301,20627768,2007000946432,"420099608004",21,2,1,1,10,,513519105
165648302,20628593,2007000946432,"420099609001",27,1,1,1,0,,513518291
165648304,20628593,2007000946432,"420099610002",21,2,1,1,10,,513517711
165648309,20690962,2007000946432,"420099608004",3,1,1,1,12,450066968,
165648310,20690962,2007000946432,"420099610002",21,2,1,1,10,,513517002
165833127,20628227,2007000946432,"420099608001",44,1,1,1,0,,513518395
165833130,20632896,2007000946432,"420099608003",16,2,1,1,2,450114476,
165995974,20628211,2007000946432,"420099606002",54,2,1,1,1,,513517743
166025019,20623425,2007000946432,"420099608003",6,2,1,1,2,450145256,
166025021,20623425,2007000946432,"420099608003",38,1,1,1,0,,513519345
166025022,20623425,2007000946432,"420099609001",35,2,1,1,1,,513914423
166025024,20623679,2007000946432,"420099606002",3,1,1,1,2,,
166025031,20635894,2007000946432,"420099606002",6,2,1,1,2,450108324,
166025033,20635894,2007000946432,"420099608001",38,1,1,1,0,,513225805
166025034,20635894,2007000946432,"420099608004",35,2,1,1,1,,508536735
166025035,20691028,2007000946432,"420099608004",6,2,1,1,2,450108324,
166025037,20691028,2007000946432,"420099608003",38,1,1,1,0,,508537452
166077633,20626186,2007000946432,"420099610002",58,1,1,1,0,,513493204
166077635,20628804,2007000946432,"420099608001",58,1,1,1,0,,513524743
166077636,20628917,2007000946432,"420099608001",58,1,1,1,0,,513517710
166077637,20630856,2007000946432,"420099606002",58,1,1,1,0,,513519840
166077639,20633278,2007000946432,"420099608001",58,1,1,1,0,,513518303
166077640,20636192,2007000946432,"420099609001",58,1,1,1,0,,508537873
166104341,20635284,2007000946432,"420099608004",27,1,1,1,2,,513930015
166104343,20635284,2007000946432,"420099610002",36,2,1,1,1,,
166104344,20635284,2007000946432,"420099608004",13,2,1,1,2,450138999,
166104345,20635284,2007000946432,"420099608004",8,1,1,1,2,450138999,
166104346,20635284,2007000946432,"420099608003",5,1,1,1,2,450138999,
166141489,20628991,2007000946432,"420099609001",71,2,1,1,1,,513516927
166141490,20630649,2007000946432,"420099608001",71,1,1,1,0,,
166266330,20629677,2007000946432,"420099608004",24,2,1,1,0,,508250656
166266331,20629677,2007000946432,"420099606002",0,2,1,1,2,,
166266332,20633439,2007000946432,"420099606002",24,2,1,1,0,,508537653
166266333,20633439,2007000946432,"420099608001",0,2,1,1,2,,
166425124,20618929,2007000946432,"420099610002",23,1,1,1,2,,513922505
166425127,20619648,2007000946432,"420099610002",23,1,1,1,2,,513518746
166425128,20619648,2007000946432,"420099608004",48,1,1,1,0,,508370925
166425129,20623852,2007000946432,"420099610002",48,2,1,1,1,,513519345
166425131,20623852,2007000946432,"420099610002",48,1,1,1,0,,513520261
166425132,20632508,2007000946432,"420099608003",48,2,1,1,1,,513516713
166425133,20632508,2007000946432,"420099608003",23,1,1,1,2,,513516927
166425136,20635642,2007000946432,"420099610002",23,1,1,1,2,,513225191
166454897,20618834,2007000946432,"420099608004",49,1,1,1,0,,513516737
166588358,20625512,2007000946432,"420099609001",73,2,1,1,1,,
166588359,20625512,2007000946432,"420099610002",70,1,1,1,0,,
166588360,20625935,2007000946432,"420099610002",73,2,1,1,1,,
166588361,20625935,2007000946432,"420099608004",70,1,1,1,0,,
166648335,20618876,2007000946432,"420099608003",30,1,1,1,0,,513516713
166648336,20625543,2007000946432,"420099608003",30,1,1,1,0,,513519669
166648338,20628415,2007000946432,"420099610002",30,1,1,1,0,,513519840
166665050,20625698,2007000946432,"420099606002",48,2,1,1,0,,
166838325,20618895,2007000946432,"420099608003",10,2,1,1,2,450114475,
166838327,20618895,2007000946432,"420099608003",37,2,1,1,1,,513514145
166838328,20623595,2007000946432,"420099609001",41,1,1,1,0,,513519445
166838329,20623595,2007000946432,"420099608001",10,2,1,1,2,450145257,
166838330,20623595,2007000946432,"420099608001",11,2,1,1,2,450145257,
166838332,20634554,2007000946432,"420099608001",41,1,1,1,0,,508414952
166838334,20634554,2007000946432,"420099608004",11,2,1,1,2,450122303,
166854033,20617642,2007000946432,"420099608004",11,1,1,1,2,450078419,
166854034,20617642,2007000946432,"420099608003",30,2,1,1,0,,513520113
166854037,20617642,2007000946432,"420099608004",6,1,1,1,2,450145256,
166854038,20619130,2007000946432,"420099608004",11,1,1,1,2,450145257,
166854039,20619130,2007000946432,"420099608004",30,2,1,1,0,,513921484
166854040,20619130,2007000946432,"420099608004",9,2,1,1,2,450145256,
166854041,20619130,2007000946432,"420099608003",37,1,2,1,1,,513922336
166854042,20619130,2007000946432,"420099608004",6,1,1,1,2,450145256,
166854043,20619239,2007000946432,"420099609001",11,1,1,1,2,450078419,
166854044,20619239,2007000946432,"420099608004",30,2,1,1,0,,508535981
166854046,20619239,2007000946432,"420099608004",37,1,2,1,1,,513922471
166854047,20619239,2007000946432,"420099606002",6,1,1,1,2,450114472,
166854049,20619847,2007000946432,"420099608001",30,2,1,1,0,,513518198
166854050,20619847,2007000946432,"420099609001",9,2,1,1,2,450114472,
166854051,20619847,2007000946432,"420099608001",37,1,2,1,1,,513520162
166854052,20619847,2007000946432,"420099606002",6,1,1,1,2,450114472,
166854054,20620047,2007000946432,"420099606002",30,2,1,1,0,,513922286
166854056,20620047,2007000946432,"420099608001",37,1,2,1,1,,513923893
166854057,20620047,2007000946432,"420099608001",6,1,1,1,2,450114472,
166854058,20620708,2007000946432,"420099608004",11,1,1,1,2,450114475,
166854059,20620708,2007000946432,"420099608003",30,2,1,1,0,,513923448
166854060,20620708,2007000946432,"420099608004",9,2,1,1,2,450114472,
166854063,20624069,2007000946432,"420099608004",11,1,1,1,2,450145256,
166854065,20624069,2007000946432,"420099609001",9,2,1,1,2,450145256,
166854066,20624069,2007000946432,"420099608004",37,1,2,1,1,,513521500
166854069,20624085,2007000946432,"420099608004",30,2,1,1,0,,513924584
166854071,20624085,2007000946432,"420099606002",37,1,2,1,1,,513519345
166854072,20624085,2007000946432,"420099610002",6,1,1,1,2,450145256,
166854076,20626294,2007000946432,"420099609001",37,1,2,1,1,,513518082
166854078,20626733,2007000946432,"420099608003",11,1,1,1,2,450122303,
166854083,20628784,2007000946432,"420099608003",11,1,1,1,2,450108335,
166854085,20628784,2007000946432,"420099608004",9,2,1,1,2,450108324,
166854086,20628784,2007000946432,"420099606002",37,1,2,1,1,,513519046
166854087,20628784,2007000946432,"420099608001",6,1,1,1,2,450108324,
166854088,20629629,2007000946432,"420099608001",11,1,1,1,2,450108335,
166854092,20629629,2007000946432,"420099608003",6,1,1,1,2,450108324,
166854096,20629685,2007000946432,"420099610002",37,1,2,1,1,,513520501
166854098,20631047,2007000946432,"420099608004",11,1,1,1,2,450108335,
166854100,20631047,2007000946432,"420099608004",9,2,1,1,2,450108324,
166854102,20631047,2007000946432,"420099608004",6,1,1,1,2,450145256,
166854105,20631263,2007000946432,"420099608003",9,2,1,1,2,450108324,
166854106,20631263,2007000946432,"420099608001",37,1,2,1,1,,513519960
166854108,20632101,2007000946432,"420099606002",11,1,1,1,2,450114475,
166854112,20632101,2007000946432,"420099608001",6,1,1,1,2,450114472,
166854113,20632191,2007000946432,"420099608001",11,1,1,1,2,450114475,
166854115,20632191,2007000946432,"420099608004",9,2,1,1,2,450144031,
166854116,20632191,2007000946432,"420099608001",37,1,2,1,1,,513518077
166854118,20633844,2007000946432,"420099608004",11,1,1,1,2,450108335,
166854120,20633844,2007000946432,"420099606002",9,2,1,1,2,450138999,
166854121,20633844,2007000946432,"420099608003",37,1,2,1,1,,513934574
166854122,20633844,2007000946432,"420099610002",6,1,1,1,2,450122301,
166854123,20635155,2007000946432,"420099608003",11,1,1,1,2,450108335,
166854125,20635155,2007000946432,"420099608001",9,2,1,1,2,450108324,
166854126,20635155,2007000946432,"420099608004",37,1,2,1,1,,513520016
166854127,20635155,2007000946432,"420099608004",6,1,1,1,2,450108324,
166854129,20635986,2007000946432,"420099608001",30,2,1,1,0,,508536791
166854133,20690892,2007000946432,"420099609001",11,1,1,1,2,450130825,
166854134,20690892,2007000946432,"420099608004",30,2,1,1,0,,513566379
166854135,20690892,2007000946432,"420099609001",9,2,1,1,2,450144031,
166854136,20690892,2007000946432,"420099609001",37,1,2,1,1,,508383946
166854137,20690892,2007000946432,"420099608003",6,1,1,1,2,450130826,
166936860,20627011,2007000946432,"420099610002",65,1,1,1,1,,513519095
166998621,20625576,2007000946432,"420099610002",31,1,1,1,0,,513518430
166998623,20625576,2007000946432,"420099606002",0,2,1,1,2,,
166998624,20625576,2007000946432,"420099610002",6,2,1,1,12,450110381,
167127400,20631204,2007000946432,"420099609001",81,1,1,1,0,,
167127401,20635954,2007000946432,"420099606002",81,1,1,1,0,,
167191817,20626361,2007000946432,"420099609001",52,2,1,1,1,,513922362
167191818,20626361,2007000946432,"420099609001",59,1,1,1,0,,513519941
167191819,20629496,2007000946432,"420099606002",52,2,1,1,1,,513517765
167257137,20620335,2007000946432,"420099610002",47,1,1,1,0,,513518136
167257138,20620335,2007000946432,"420099609001",48,2,1,1,1,,513516737
167257140,20620634,2007000946432,"420099606002",47,1,1,1,0,,513517732
167257142,20620634,2007000946432,"420099608003",14,1,1,1,2,450114475,
167257143,20620843,2007000946432,"420099608004",47,1,1,1,0,,513519345
167257145,20620843,2007000946432,"420099608003",14,1,1,1,2,450114475,
167257148,20623641,2007000946432,"420099609001",14,1,1,1,2,450145256,
167257149,20629885,2007000946432,"420099608001",47,1,1,1,0,,513518102
167257637,20619227,2007000946432,"420099606002",8,1,1,1,2,450144031,
167257639,20619227,2007000946432,"420099609001",6,1,1,1,2,450144031,
