sp_id,sp_gq_id,sporder,age,sex
939302387,450046415,1,46,2
939302386,450046415,1,53,2
939302385,450046415,1,62,2
940214350,450046415,1,90,2
940214349,450046415,1,83,2
940214348,450046415,1,88,2
940214347,450046415,1,79,2
940214346,450046415,1,81,2
940214336,450046415,1,92,2
940214335,450046415,1,89,2
940214334,450046415,1,79,2
940214333,450046415,1,69,2
940754307,450046415,1,71,1
940754308,450046415,1,83,1
940754309,450046415,1,88,1
940754310,450046415,1,78,1
940754313,450046415,1,77,1
940754312,450046415,1,85,1
940754311,450046415,1,80,1
940754314,450046415,1,75,1
940214345,450046415,1,83,2
940214344,450046415,1,89,2
940214343,450046415,1,85,2
940214342,450046415,1,81,2
940214341,450046415,1,86,2
940214340,450046415,1,89,2
940214339,450046415,1,91,2
940214338,450046415,1,93,2
940214337,450046415,1,97,2
942554994,450007849,1,59,1
942554836,450007849,1,44,1
942554837,450007849,1,43,1
942554838,450007849,1,59,1
942554839,450007849,1,20,1
942554840,450007849,1,41,1
942554841,450007849,1,59,1
942554842,450007849,1,22,1
942554843,450007849,1,54,1
942554844,450007849,1,36,1
942554845,450007849,1,23,1
942554846,450007849,1,35,1
942554847,450007849,1,51,1
942554848,450007849,1,37,1
942554849,450007849,1,35,1
942554850,450007849,1,32,1
942554851,450007849,1,43,1
942554852,450007849,1,43,1
942554853,450007849,1,43,1
942554854,450007849,1,26,1
942554855,450007849,1,41,1
942554856,450007849,1,38,1
942554857,450007849,1,41,1
942554858,450007849,1,58,1
942554859,450007849,1,20,1
942554860,450007849,1,36,1
942554861,450007849,1,25,1
942554862,450007849,1,23,1
942554863,450007849,1,42,1
942554864,450007849,1,35,1
942554865,450007849,1,42,1
942554866,450007849,1,50,1
942554867,450007849,1,33,1
942554868,450007849,1,31,1
942554869,450007849,1,33,1
942554870,450007849,1,49,1
942554871,450007849,1,48,1
942554872,450007849,1,45,1
942554873,450007849,1,20,1
942554874,450007849,1,45,1
942554875,450007849,1,33,1
942554876,450007849,1,41,1
942554877,450007849,1,41,1
942554878,450007849,1,30,1
942554879,450007849,1,21,1
942554880,450007849,1,49,1
942554881,450007849,1,34,1
942554882,450007849,1,22,1
942554883,450007849,1,62,1
942554884,450007849,1,31,1
942554885,450007849,1,38,1
942554886,450007849,1,33,1
942554887,450007849,1,26,1
942554888,450007849,1,24,1
942554889,450007849,1,30,1
942554890,450007849,1,27,1
942554891,450007849,1,43,1
942554892,450007849,1,60,1
942554893,450007849,1,23,1
942554894,450007849,1,43,1
942554895,450007849,1,45,1
942554896,450007849,1,29,1
942554897,450007849,1,34,1
942554898,450007849,1,20,1
942554899,450007849,1,34,1
942554900,450007849,1,42,1
942554901,450007849,1,22,1
942554902,450007849,1,25,1
942554903,450007849,1,32,1
942554904,450007849,1,22,1
942554905,450007849,1,49,1
942554906,450007849,1,24,1
942554907,450007849,1,51,1
942554908,450007849,1,43,1
942554909,450007849,1,58,1
942554910,450007849,1,38,1
942554911,450007849,1,21,1
942554912,450007849,1,35,1
942554913,450007849,1,30,1
942554914,450007849,1,42,1
942554915,450007849,1,36,1
942554916,450007849,1,20,1
942554917,450007849,1,34,1
942554918,450007849,1,42,1
942554919,450007849,1,34,1
942554920,450007849,1,47,1
942554921,450007849,1,58,1
942554922,450007849,1,20,1
942554923,450007849,1,43,1
942554924,450007849,1,61,1
942554925,450007849,1,31,1
942554926,450007849,1,29,1
942554927,450007849,1,47,1
942554928,450007849,1,29,1
942554929,450007849,1,26,1
942554930,450007849,1,24,1
942554931,450007849,1,35,1
942554932,450007849,1,47,1
942554933,450007849,1,20,1
942554934,450007849,1,29,1
942554935,450007849,1,39,1
942554936,450007849,1,53,1
942554937,450007849,1,35,1
942554938,450007849,1,27,1
942554939,450007849,1,39,1
942554940,450007849,1,25,1
942554941,450007849,1,31,1
942554942,450007849,1,40,1
942554943,450007849,1,35,1
942554944,450007849,1,36,1
942554945,450007849,1,33,1
942554946,450007849,1,23,1
942554947,450007849,1,36,1
942554948,450007849,1,25,1
942554949,450007849,1,35,1
942554950,450007849,1,34,1
942554951,450007849,1,32,1
942554952,450007849,1,46,1
942554953,450007849,1,25,1
942554954,450007849,1,38,1
942554955,450007849,1,21,1
942554956,450007849,1,48,1
942554957,450007849,1,48,1
942554958,450007849,1,42,1
942554959,450007849,1,40,1
942554960,450007849,1,53,1
942554961,450007849,1,19,1
942554962,450007849,1,33,1
942554963,450007849,1,43,1
942554964,450007849,1,25,1
942554965,450007849,1,44,1
942554966,450007849,1,34,1
942554967,450007849,1,62,1
942554968,450007849,1,36,1
942554969,450007849,1,29,1
942554970,450007849,1,48,1
942554971,450007849,1,23,1
942554972,450007849,1,59,1
942554973,450007849,1,35,1
942554974,450007849,1,20,1
942554975,450007849,1,21,1
942554976,450007849,1,25,1
942554977,450007849,1,33,1
942554978,450007849,1,34,1
942554979,450007849,1,55,1
942554980,450007849,1,28,1
942554981,450007849,1,37,1
942554982,450007849,1,34,1
942554983,450007849,1,33,1
942554984,450007849,1,21,1
942554985,450007849,1,55,1
942554986,450007849,1,31,1
942554987,450007849,1,23,1
942554988,450007849,1,25,1
942554989,450007849,1,52,1
942554990,450007849,1,31,1
942554991,450007849,1,58,1
942554992,450007849,1,27,1
942554993,450007849,1,30,1
942554995,450007849,1,38,1
942554996,450007849,1,53,1
942554997,450007849,1,36,1
942554998,450007849,1,39,1
942554999,450007849,1,25,1
942555000,450007849,1,45,1
942555001,450007849,1,31,1
942555002,450007849,1,64,1
942555003,450007849,1,49,1
942555004,450007849,1,30,1
942555005,450007849,1,49,1
942555006,450007849,1,22,1
942555007,450007849,1,36,1
942555008,450007849,1,36,1
942555009,450007849,1,60,1
942555010,450007849,1,45,1
942555011,450007849,1,56,1
942555012,450007849,1,24,1
942555013,450007849,1,29,1
942555014,450007849,1,41,1
