sp_id,name,stabbr,address,city,county,zipcode,zip4,nces_id,total,prek,kinder,gr01_gr12,ungraded,latitude,longitude,source,stco
450069344,"LOGAN MS","PA","6202 ALDER ST","PITTSBURGH","ALLEGHENY",0,0,"A0501924",428896,0,428896,0.0,0.0,39.8980091,-79.7202983,schoolinformation.com,42051
450048940,"LOGAN MS","PA","6202 ALDER ST","PITTSBURGH","ALLEGHENY",0,0,"A0501924",428896,0,428896,0.0,0.0,39.8457984,-79.90112990000002,schoolinformation.com,42051
450116229,"LOGAN MS","PA","6202 ALDER ST","PITTSBURGH","ALLEGHENY",0,0,"A0501924",428896,0,428896,0.0,0.0,40.023271,-79.563376,schoolinformation.com,42051
450068676,"LOGAN MS","PA","6202 ALDER ST","PITTSBURGH","ALLEGHENY",0,0,"A0501924",428896,0,428896,0.0,0.0,40.06534,-80.02292,schoolinformation.com,42125
450139239,"LOGAN MS","PA","6202 ALDER ST","PITTSBURGH","ALLEGHENY",0,0,"A0501924",428896,0,428896,0.0,0.0,39.72172,-79.487088,schoolinformation.com,42051
450087379,"LOGAN MS","PA","6202 ALDER ST","PITTSBURGH","ALLEGHENY",0,0,"A0501924",428896,0,428896,0.0,0.0,40.345601,-79.84806,schoolinformation.com,42003
450114972,"LOGAN MS","PA","6202 ALDER ST","PITTSBURGH","ALLEGHENY",0,0,"A0501924",428896,0,428896,0.0,0.0,39.912538,-79.70350400000001,schoolinformation.com,42051
450063600,"LOGAN MS","PA","6202 ALDER ST","PITTSBURGH","ALLEGHENY",0,0,"A0501924",428896,0,428896,0.0,0.0,0.0,0.0,schoolinformation.com,25027
450061742,"LOGAN MS","PA","6202 ALDER ST","PITTSBURGH","ALLEGHENY",0,0,"A0501924",428896,0,428896,0.0,0.0,40.1405469,-79.8976871,schoolinformation.com,42125
450119602,"LOGAN MS","PA","6202 ALDER ST","PITTSBURGH","ALLEGHENY",0,0,"A0501924",428896,0,428896,0.0,0.0,40.018809000000005,-79.62039200000001,schoolinformation.com,42051
450148557,"LOGAN MS","PA","6202 ALDER ST","PITTSBURGH","ALLEGHENY",0,0,"A0501924",428896,0,428896,0.0,0.0,40.088910999999996,-79.756034,schoolinformation.com,42051
