sp_id,gq_type,persons,stcotrbg,latitude,longitude
450003399,"C",3256,"420030103002",40.4374960,-79.9930460
450003400,"C",478,"420030201001",40.4375210,-79.9994520
450003401,"C",479,"420030201001",40.4385256,-80.0014617
450003402,"C",4475,"420039822001",40.4445020,-79.9546920
450003403,"C",55,"420030809001",40.4623320,-79.9455000
450003404,"C",527,"420031401003",40.4446160,-79.9429140
450003405,"C",258,"420031402001",40.4484320,-79.9260830
450003406,"C",13,"420032602002",40.4844085,-80.0158246
450003523,"C",1177,"420030402002",40.4398510,-79.9639267
450003904,"C",30,"420031113004",40.4671900,-79.9209000
450003905,"C",354,"420034135004",40.5697773,-80.0119770
450003906,"C",1157,"420034511023",40.5210883,-80.2117850
450004554,"C",70,"420035620003",40.4481874,-79.9558045
450004555,"C",313,"420030404002",40.4482650,-79.9499687
450004556,"C",506,"420030405001",40.4406805,-79.9542332
450004557,"C",230,"420030405002",40.4382299,-79.9582160
450004558,"C",12,"420035620001",40.4509240,-79.9510070
450004559,"C",799,"420030510002",40.4459973,-79.9651192
450004560,"C",3,"420030706002",40.4519412,-79.9274584
450004561,"C",130,"420030709003",40.4489296,-79.9431349
450004562,"C",165,"420030709004",40.4525514,-79.9436227
450004563,"C",2,"420030809002",40.4636514,-79.9429628
450004564,"C",8,"420031102004",40.4725674,-79.9227477
450004565,"C",201,"420039818001",40.4805727,-79.9021492
450004566,"C",145,"420031401001",40.4442956,-79.9352599
450004567,"C",743,"420031401002",40.4398595,-79.9313398
450004568,"C",1508,"420031401004",40.4461764,-79.9428625
450004569,"C",6,"420031406002",40.4448737,-79.8972215
450004570,"C",101,"420031609001",40.4295582,-79.9689512
450004571,"C",25,"420035628001",40.4199028,-80.0709880
450004572,"C",41,"420034511012",40.5292868,-80.2132449
450004573,"C",4,"420034511052",40.5080068,-80.2297330
450004574,"C",190,"420035030022",40.3488690,-79.8247178
450004575,"C",8,"420035215002",40.4476082,-79.7424446
450008429,"P",2340,"420030103001",40.4345346,-79.9934768
450008430,"P",1795,"420039809001",40.4705920,-80.0412735
450010317,"P",24,"420030409001",40.4367686,-79.9704390
450010318,"P",23,"420030409001",40.4384664,-79.9624948
450021803,"P",254,"420030103001",40.4341506,-79.9847430
450021804,"P",2,"420030501003",40.4459724,-79.9776953
450021805,"P",30,"420030709001",40.4544392,-79.9379456
450021806,"P",6,"420030807001",40.4627928,-79.9335930
450021807,"P",20,"420030807001",40.4627928,-79.9335930
450021808,"P",10,"420030807002",40.4592965,-79.9351049
450021809,"P",5,"420031102004",40.4725674,-79.9227477
450021810,"P",75,"420035619001",40.4740878,-79.8963098
450021811,"P",18,"420035619001",40.4740878,-79.8963098
450021812,"P",10,"420031807003",40.4228314,-80.0010209
450021813,"P",3,"420035627002",40.4527421,-80.0067308
450021814,"P",15,"420035627002",40.4527421,-80.0067308
450021815,"P",2,"420032503001",40.4584905,-80.0120067
450021816,"P",8,"420032507001",40.4599421,-80.0218658
450021817,"P",1,"420032614004",40.4687671,-80.0062115
450021818,"P",4,"420032614004",40.4687671,-80.0062115
450021819,"P",12,"420032615002",40.4699239,-80.0194198
450021820,"P",5,"420032615002",40.4699239,-80.0194198
450021821,"P",6,"420032701001",40.4845890,-80.0396192
450021822,"P",9,"420032701002",40.4823978,-80.0463600
450021823,"P",2,"420039809001",40.4665415,-80.0419473
450021824,"P",9,"420032904002",40.3877404,-79.9814709
450021825,"P",22,"420034070023",40.6167313,-79.8837981
450021826,"P",13,"420034070023",40.6167313,-79.8837981
450021827,"P",53,"420034350002",40.5092712,-80.0979731
450021828,"P",15,"420034350002",40.5092712,-80.0979731
450021829,"P",5,"420034370002",40.5521550,-80.1072714
450021830,"P",3,"420034370002",40.5521550,-80.1072714
450021831,"P",5,"420034513001",40.4730196,-80.1913585
450021832,"P",28,"420034571002",40.3592371,-80.1123526
450021833,"P",45,"420034592013",40.4407560,-80.1351320
450021834,"P",49,"420034592013",40.4407560,-80.1351320
450021835,"P",7,"420034732002",40.3823781,-80.0481498
450021836,"P",7,"420034734022",40.3669468,-80.0380440
450021837,"P",1,"420034868001",40.3705674,-79.8485042
450021838,"P",1,"420034900023",40.3021900,-80.0064183
450021839,"P",19,"420034900023",40.3021900,-80.0064183
450021840,"P",106,"420035138002",40.4026285,-79.8670433
450021841,"P",1,"420035138002",40.4026285,-79.8670433
450021842,"P",1,"420035235011",40.4725153,-79.8038189
450021843,"P",10,"420035262022",40.4671388,-79.7464975
450021844,"P",55,"420035512002",40.3541674,-79.8298235
450021845,"P",13,"420035512002",40.3541674,-79.8298235
450021846,"P",3,"420035604002",40.4417228,-79.8905826
450021847,"P",10,"420035604002",40.4417228,-79.8905826
450021848,"P",2,"420035610001",40.4391171,-79.8775561
450021849,"P",10,"420035610001",40.4391171,-79.8775561
450030391,"N",29,"420030902003",40.4666752,-79.9579546
450030392,"N",149,"420031413003",40.4337400,-79.9275175
450030393,"N",64,"420031414004",40.4139913,-79.9215421
450030394,"N",98,"420035623002",40.4087606,-79.9282790
450030395,"N",40,"420032614004",40.4676984,-80.0098552
450030396,"N",47,"420032708001",40.4877913,-80.0337602
450030397,"N",87,"420033204001",40.3838510,-79.9947830
450030398,"N",113,"420034293001",40.5480700,-80.0481100
450030399,"N",58,"420034296001",40.5060465,-80.0514385
450030400,"N",44,"420035638002",40.5287560,-80.1435690
450030401,"N",53,"420034560042",40.3275715,-80.1369428
450030402,"N",52,"420034560042",40.3269858,-80.1372175
450030403,"N",170,"420034705022",40.3980171,-80.0656872
450030404,"N",42,"420034733004",40.3720190,-80.0334260
450030405,"N",42,"420034733004",40.3719340,-80.0333700
450030406,"N",42,"420034733004",40.3720190,-80.0334260
450030407,"N",36,"420034733004",40.3720190,-80.0334260
450030408,"N",66,"420034751014",40.3428635,-80.0529540
450030409,"N",139,"420034772004",40.3622741,-80.0003762
450030410,"N",85,"420034900042",40.2897500,-79.9741968
450030411,"N",62,"420035512002",40.3511783,-79.8299645
450030412,"N",17,"420035041002",40.3873590,-79.8281948
450030413,"N",6,"420035213023",40.4328095,-79.7811526
450030414,"N",84,"420035214011",40.4343470,-79.7479457
450030415,"N",36,"420035252001",40.5210935,-79.8476933
450030416,"N",60,"420035261021",40.5000142,-79.7303411
450030417,"N",6,"420035519002",40.3497397,-79.8677211
450036279,"N",29,"420030902003",40.4666752,-79.9579546
450036280,"N",200,"420039818001",40.4784909,-79.9021995
450036281,"N",63,"420031413001",40.4359868,-79.9235655
450036282,"N",146,"420031413003",40.4316013,-79.9239718
450036283,"N",24,"420031919003",40.3960996,-80.0285726
450036284,"N",13,"420032602002",40.4839293,-80.0153740
450036285,"N",90,"420034020001",40.6138934,-79.7420350
450036286,"N",180,"420034131003",40.5874278,-80.0434595
450036287,"N",55,"420034150011",40.5961435,-79.8724790
450036288,"N",219,"420034292012",40.5500720,-80.0173830
450036289,"N",52,"420034560042",40.3280876,-80.1365545
450036290,"N",52,"420034560042",40.3278837,-80.1367139
450036291,"N",50,"420034735003",40.3597963,-80.0604569
450036292,"N",41,"420034753043",40.2914369,-80.0421241
450036293,"N",25,"420034846002",40.3939634,-79.8999984
450036294,"N",108,"420034890012",40.3298162,-79.9374025
450036295,"N",11,"420034912001",40.3227526,-79.9292339
450036296,"N",16,"420035041002",40.3953477,-79.8293190
450036297,"N",57,"420035094001",40.4130408,-79.8208528
450036298,"N",35,"420035252001",40.5177566,-79.8475067
450036299,"N",17,"420035509001",40.3456130,-79.8473787
450036300,"N",5,"420035519002",40.3502300,-79.8595435
450036301,"N",3,"420035519002",40.3521033,-79.8508430
450036302,"N",2,"420035519002",40.3518422,-79.8548209
450036303,"N",2,"420035519002",40.3520975,-79.8593488
450036304,"N",165,"420035521002",40.3476919,-79.8682229
450036305,"N",163,"420035521002",40.3411457,-79.8641020
450036306,"N",68,"420035604001",40.4445962,-79.8897602
450036307,"N",67,"420035604001",40.4445962,-79.8897602
450037903,"N",156,"420032023003",40.4101494,-80.0430314
450037904,"N",44,"420035638002",40.5299813,-80.1406468
450037905,"N",282,"420034703002",40.3742280,-80.0859299
450038425,"N",119,"420031208002",40.4589487,-79.9089128
450038426,"N",60,"420031414004",40.4141302,-79.9207510
450038427,"N",49,"420034735003",40.3557354,-80.0503522
450038428,"N",22,"420034736024",40.3745214,-80.0732649
450039015,"N",53,"420034150011",40.5786880,-79.8665640
450039016,"N",234,"420034190001",40.5405937,-79.8208334
450039242,"N",22,"420034846002",40.3913339,-79.9023900
450039243,"N",77,"420034911012",40.3084270,-79.9476000
450039244,"N",11,"420034912001",40.3283680,-79.9383070
450039245,"N",16,"420035509001",40.3512076,-79.8518238
450040296,"N",26,"420030902003",40.4652825,-79.9576107
450040297,"N",9,"420031405002",40.4528279,-79.9053674
450040298,"N",95,"420035623002",40.4072694,-79.9279524
450040299,"N",44,"420034560042",40.3259874,-80.1376059
450040300,"N",72,"420034882003",40.3904188,-79.8789624
450040301,"N",89,"420035213012",40.4261888,-79.7572896
450040302,"N",86,"420035213012",40.4294342,-79.7513536
450041316,"N",45,"420030807002",40.4575396,-79.9366224
450041317,"N",81,"420032620002",40.4668880,-79.9938862
450041318,"N",39,"420035638002",40.5299813,-80.1406468
450041319,"N",10,"420034912001",40.3044933,-79.9263091
450041320,"N",55,"420035094001",40.4135170,-79.8209417
450041321,"N",80,"420035214011",40.4226647,-79.7435894
450042386,"N",39,"420032614004",40.4671284,-80.0099584
450042387,"N",59,"420034070024",40.6015951,-79.8974719
450042388,"N",159,"420034133001",40.5564590,-80.0387450
450042389,"N",111,"420034293001",40.5471964,-80.0365879
450042390,"N",140,"420034736012",40.3815377,-80.0590313
450042391,"N",64,"420034751014",40.3491150,-80.0483321
450046390,"N",130,"420030703002",40.4502300,-79.9325808
450046391,"N",173,"420030709001",40.4544392,-79.9379456
450046392,"N",41,"420031005001",40.4760159,-79.9343044
450046393,"N",128,"420031113002",40.4702448,-79.9255475
450046394,"N",69,"420035619001",40.4740878,-79.8963098
450046395,"N",82,"420031920002",40.4016212,-80.0253551
450046396,"N",38,"420034013003",40.6194349,-79.7434070
450046397,"N",9,"420034070021",40.6072745,-79.8336627
450046398,"N",111,"420034080012",40.6521055,-79.9766342
450046399,"N",140,"420034135002",40.5792238,-80.0203306
450046400,"N",21,"420034150021",40.5582570,-79.8876119
450046401,"N",65,"420034323001",40.5056483,-80.0689177
450046402,"N",8,"420034370002",40.5521550,-80.1072714
