sp_id,workers,latitude,longitude
513955410,2,40.4132047,-79.8218767
513969062,2,40.4957220,-79.9156177
513976658,109,40.5228620,-79.9460377
513979065,2,40.3401120,-79.9570177
513502817,8,40.2860990,-79.5426578
513968691,7,40.4505820,-79.9142477
514021735,4,40.3814821,-80.2029876
514022351,3,40.4409600,-80.2128656
514017422,1,40.3439421,-80.1367376
514015616,7,40.3584521,-80.1225577
513976477,3,40.5963120,-79.9480777
513486070,2,40.0513326,-79.8959872
513938027,31,40.6033120,-79.5607378
513985516,5,40.4285420,-79.9877477
513486428,3,40.2699221,-79.8905977
513953690,8,40.3775020,-79.8009177
513960186,3,40.5517130,-79.8646157
513484421,2,40.1983521,-79.9335077
513571768,21,40.0702320,-76.7128517
513953521,160,40.5420320,-79.7988977
513485097,35,40.2971627,-79.9086552
514006420,3,40.8580720,-80.0620276
513468443,10,40.1224721,-80.2920976
513987010,1,40.3773320,-79.9904577
513967022,1,40.4395220,-79.8972477
513479762,13,40.3123611,-80.0330867
513984600,4,40.4289820,-79.9828577
513995473,4,40.6260120,-80.0190977
514015525,3,40.3589421,-80.1148777
513971354,1,40.5758820,-79.9267777
513991665,9,40.4386320,-80.0031077
514560971,10,42.0768117,-80.2028975
513970262,3,40.4231990,-79.9239497
513952597,3,40.4452620,-79.7877177
513469865,6,40.1641521,-80.2448586
513506234,6,40.3061420,-79.4516039
513480057,3,40.3284721,-80.0222977
513998052,2,40.5738720,-80.0302677
514506238,556,41.6287740,-83.5052285
513964387,2,40.4866490,-79.8883137
514009109,1,40.6286120,-80.0682276
513473708,90,40.2795791,-80.1715516
513476797,7,40.3150401,-80.0892417
514013648,460,40.6902620,-80.1023476
514011015,1,40.6548620,-80.0877576
513983863,1,40.3674820,-79.9806177
513960292,6,40.4266770,-79.8624767
514256909,14,40.9653379,-80.3069265
513480637,2,40.2904321,-80.0265577
513963096,3,40.3916120,-79.8791177
514017469,11,40.3411021,-80.1421076
514016412,15,40.4272434,-80.1250146
513947002,4,40.4807220,-79.7437778
513480279,9,40.3077421,-80.0321477
513967081,1,40.4881820,-79.8981177
514018444,22,40.5586842,-80.1579237
514019586,1,40.5015020,-80.1724476
512476293,293,43.1136114,-77.6241182
513968643,2,40.4723820,-79.9115177
513982925,6,40.4571920,-79.9740377
513480121,6,40.3340621,-80.0252077
514005081,20,40.6257820,-80.0540277
514019038,4,40.5363020,-80.1570876
513963067,6,40.3603120,-79.8765377
513482580,4,40.3127821,-79.9848277
514003033,4,40.5541120,-80.0507077
514005462,1,40.5026920,-80.0590277
513983880,3,40.3814220,-79.9804377
513953240,5,40.3766300,-79.8075137
513474392,30,40.2632321,-80.1648176
513996071,4,40.5242320,-80.0164677
513486291,2,40.1325821,-79.8959877
514009937,1,40.3621320,-80.0764377
513504107,10,40.2998130,-79.5235648
513469554,12,40.2366321,-80.2767976
513968418,1,40.6182220,-79.9155077
514018869,1,40.4447920,-80.1494276
513495597,8,39.8990421,-79.7093178
513572751,50,40.0820430,-76.7018237
513981404,3,40.5611020,-79.9677677
514257007,256,40.9888319,-80.3171175
513987156,2,40.4556960,-79.9956697
506342502,3612,41.8817921,-87.6370812
514004002,6,40.5556920,-80.0524577
513942702,20,40.5112240,-79.6842208
514002838,2,40.3725820,-80.0507177
513470580,16,40.1691221,-80.2426976
514002320,3,40.4925620,-80.0489477
514032465,28,40.6348800,-80.4510505
514244101,56,41.0998319,-80.6438974
514018234,27,40.4552740,-80.1440236
514011136,2,40.3729690,-80.0924657
513474137,8,40.2719964,-80.1567766
513998897,4,40.5204220,-80.0326677
513970016,3,40.4339220,-79.9167877
514022262,4,40.4436600,-80.2168206
513972005,1,40.4230520,-79.9241277
513490006,2,40.2868271,-79.8056138
513494206,2,40.3029220,-79.7212178
514001154,7,40.3863910,-80.0477747
514021570,50,40.4595220,-80.1922376
513945434,6,40.4818100,-79.7248188
514026526,16,40.5682220,-80.2682376
513476642,25,40.3186221,-80.1123677
513472320,6,40.3211921,-80.1993576
513946380,2,40.5908910,-79.7347388
511815338,12,40.3508818,-74.6553654
513988910,2,40.4405720,-79.9963877
514142640,2,41.3131880,-81.9563110
513969631,7,40.4737820,-79.9179877
513968974,1,40.4239920,-79.9125177
513958803,1,40.4217220,-79.8451677
514008799,11,40.3922820,-80.0727777
513979523,37,40.4716820,-79.9598877
513477599,2,40.3099421,-80.0985277
513945720,12,40.6282920,-79.7198678
514001335,1,40.6056330,-80.0470637
514010709,5,40.5100220,-80.0847476
514021721,4,40.6829020,-80.1971476
513981723,10,40.4284020,-79.9723577
513963790,2,40.4539120,-79.8841077
514009972,2,40.3618921,-80.0772677
514003054,2,40.3405221,-80.0500277
514022527,240,40.5020320,-80.2113376
514008900,4,40.3534721,-80.0740377
513989783,3,40.4418220,-79.9979677
513494639,5,39.8979321,-79.7237178
514023807,4,40.5322220,-80.2240576
513998075,1,40.5421220,-80.0278777
513966954,3,40.5097320,-79.9010277
513490888,61,40.3341620,-79.7775818
514037841,18,40.3600021,-80.6771175
513474299,3,40.2973321,-80.1743576
513857451,145,40.6149718,-75.4602491
513954039,4,40.5276020,-79.8025777
514008816,24,40.3907520,-80.0707577
513987190,1,40.4421730,-79.9948137
513957138,3,40.4038500,-79.8380967
513945029,3,40.4807420,-79.7156578
513981085,9,40.3473720,-79.9638177
513996535,2,40.4062020,-80.0233577
513473458,1,40.2855421,-80.1778076
514469890,8885,41.5007729,-81.6824301
513963028,9,40.4652720,-79.8767577
513950870,6,40.5268620,-79.7709677
513960068,6,40.6289120,-79.8568677
513943051,7,40.5142420,-79.6725878
513985914,2,40.4399920,-79.9861477
513960671,4,40.3476920,-79.8638677
513961797,3,40.4385520,-79.8696677
511815801,22,40.3493018,-74.6538094
514007334,5,40.6337540,-80.0646336
513497281,2,40.1016471,-79.6349508
513958456,18,40.6595522,-79.8473067
513961061,1,40.4788020,-79.8591977
513943827,2,40.4442620,-79.7065578
513951838,1,40.4035520,-79.7786978
513952259,5,40.4321690,-79.7897887
513997896,1,40.4492020,-80.0272077
513996538,3,40.4236320,-80.0240677
513992563,1,40.4522520,-80.0050577
513938725,4,40.5976920,-79.5670828
513975834,3,40.4994720,-79.9454877
513506593,44,39.9479421,-79.4542479
513916706,397,40.7772419,-77.8898283
513966116,9,40.3753520,-79.8942877
514021536,1,40.5208420,-80.1960876
513501986,8,40.2739040,-79.5463298
514004040,3,40.3409721,-80.0519277
513986376,3,40.3511840,-79.9942867
513949694,1,40.4471020,-79.7660478
513984136,2,40.4259200,-79.9835007
513507416,7,40.3161920,-79.3752579
513968623,1,40.4621120,-79.9090577
514261680,4,40.8830989,-79.8632707
513940363,2,40.4173310,-79.6280388
513968616,167,40.4548320,-79.9126577
514024534,6,40.5722232,-80.2355124
513967927,1,40.4488920,-79.9084877
513595674,3,39.8849620,-76.3357389
513944886,1,40.4826520,-79.7161778
513954724,3,40.4364020,-79.8143177
513947817,5,40.5893420,-79.7478977
514020305,13,40.5402540,-80.1825736
513965712,36,40.4701220,-79.8944177
514021528,14,40.4514720,-80.2061676
513937093,51,40.8114719,-79.5175378
514006702,214,40.4215320,-80.0627777
513938579,10,40.6293980,-79.5889618
513480847,3,40.2526461,-80.0044957
513951823,2,40.4018620,-79.7780978
513962100,5,40.3886320,-79.8712977
513957528,8,40.3400020,-79.8369277
514014833,2,40.4403020,-80.1066976
514020678,1,40.3981320,-80.1748776
513966662,3,40.4015420,-79.9031577
513953416,4,40.3374750,-79.8086957
513942386,1,40.4262400,-79.6765328
513940307,123,40.3952550,-79.6279048
513978991,1,40.5193820,-79.9574277
513990816,33,40.4425220,-80.0008477
514001587,5,40.4015120,-80.0428977
514018350,64,40.4484020,-80.1572286
513988917,17,40.4433720,-79.9972877
514021032,2,40.5439420,-80.1875876
513987455,1,40.4572320,-79.9946077
513489569,4,40.3194120,-79.8351777
514006577,2,40.4573420,-80.0628277
513944807,7,40.6364720,-79.7128078
513947967,6,40.4801520,-79.7465478
513487897,3,40.1876691,-79.8614957
514033524,5,40.4222721,-80.5078475
513489021,1,40.3320710,-79.8453037
513478186,2,40.3249721,-80.0721977
513984998,1,40.3784020,-79.9810677
513485325,4,40.1371321,-79.9029977
513962098,2,40.3632820,-79.8690377
514012849,1,40.4792920,-80.0933276
503629928,3006,21.3090766,-157.8635866
513984280,2,40.4516640,-79.9815407
513999053,1,40.5404520,-80.0329977
513494711,6,40.2625201,-79.7147978
514035500,196,40.3551811,-80.6177395
513963260,9,40.5782870,-79.8867847
518092572,334,47.6336844,-122.1831961
513972439,77,40.4581420,-79.9305377
513992847,4,40.4390920,-80.0063277
513957368,10,40.6107721,-79.8340167
514020982,11,40.5401020,-80.1807576
513991349,3,40.4422450,-80.0041967
514015503,1,40.3411721,-80.1199777
514001394,3,40.8088620,-80.0444176
513950376,6,40.5385860,-79.7740167
513962918,2,40.5451220,-79.8740977
513494836,1,40.3260840,-79.7133898
513487120,143,40.1482030,-79.8764572
513948419,8,40.3850080,-79.7603108
513947907,6,40.5865320,-79.7482977
513479356,1,40.3063721,-80.0490377
513946997,2,40.5048420,-79.7407978
513961054,7,40.4706120,-79.8616577
513961253,41,40.4178910,-79.8682207
513945223,12,40.6098870,-79.7327308
513479394,2,40.2931321,-80.0459377
514017163,9,40.4819210,-80.1398666
514243464,279,40.9947620,-80.6489874
513480001,2,40.3087721,-80.0392077
513579328,40,40.2898319,-76.6399887
514253858,58,40.9819169,-80.3568855
513953775,1,40.3705320,-79.7982677
515341917,7,29.7770548,-95.1127741
513957819,16,40.4549320,-79.8365477
513957336,2,40.4999810,-79.8349627
514021502,4,40.5292520,-80.1929876
513991682,3,40.4395820,-80.0013977
513922395,218,40.5085460,-78.3970642
513979228,35,40.4425170,-79.9621417
513952598,2,40.4187320,-79.7937677
513554604,3,40.2250419,-76.8787787
513996304,5,40.3655860,-80.0255767
513949060,3,40.6571720,-79.7588677
513945710,13,40.6212520,-79.7265478
513959241,3,40.4096250,-79.8560967
513966999,1,40.4228920,-79.9017677
513997671,2,40.3988720,-80.0291477
513955766,5,40.4713820,-79.8201977
514023067,1,40.4329720,-80.2108876
514020870,4,40.5422820,-80.1837776
505562950,9,33.9406435,-84.5107468
514031275,4,40.7455530,-80.3802445
513482135,1,40.1274621,-79.9711677
513996191,11,40.4707220,-80.0257887
513948377,15,40.3847090,-79.7602898
513989740,6,40.4413820,-79.9980277
513998893,4,40.5193320,-80.0319677
513941699,2,40.7925079,-79.6606588
513479602,6,40.2579621,-80.0553677
513480263,4,40.3189221,-80.0288977
513954428,2,40.3438280,-79.8141837
513478098,14,40.2438521,-80.0690277
513969877,1,40.4426520,-79.9184477
513963510,2,40.3500920,-79.8851377
513942169,1,40.3474920,-79.6746038
513941021,5,40.6195720,-79.6276978
513995685,15,40.4027820,-80.0205177
513957955,3,40.6192720,-79.8337877
513953517,27,40.5420320,-79.7988977
513938264,3,40.4053160,-79.5902308
513969950,18,40.4382520,-79.9196177
513991821,7,40.4398820,-80.0021577
513962104,6,40.4258220,-79.8670477
513991093,6,40.5120820,-80.0002777
513985444,2,40.4284120,-79.9879777
513482517,3,40.3341021,-79.9730777
514250296,2,41.2500219,-80.5145075
514024718,15,40.6653020,-80.2309376
514005971,27,40.6149120,-80.0601176
514008367,4,40.6418320,-80.0732776
513545544,2345,40.2062520,-76.9597686
513954784,183,40.4505420,-79.8093277
513351973,14,39.9231723,-83.7862966
513963071,1,40.3605820,-79.8731977
513481374,16,40.2670721,-80.0191777
514004833,24,40.3481921,-80.0540477
513481060,2,40.1166021,-80.0158377
513974081,11,40.6812920,-79.9344077
513973890,4,40.4476620,-79.9360277
514020558,3,40.3624121,-80.1830876
513968647,7,40.4513220,-79.9153877
513479182,3,40.3282521,-80.0603177
513954812,3,40.4264420,-79.8132777
513993012,1,40.5177720,-80.0056877
514018248,19,40.4467450,-80.1530046
513987055,3,40.3448820,-79.9923277
513981662,19,40.4298820,-79.9698177
513964199,22,40.4038940,-79.8906767
513967908,2,40.4503620,-79.9069777
514015272,48,40.6984190,-80.1137616
513954805,3,40.4563820,-79.8115877
513498298,66,40.1127851,-79.6035388
514008606,3,40.4993820,-80.0724877
513976192,1,40.4268400,-79.9495817
513952766,1,40.4286220,-79.7865377
514020462,1,40.4837620,-80.1783876
514025582,23,40.5699520,-80.2577876
513502082,2,40.2774900,-79.5479648
513492788,5,40.3088550,-79.7373188
513948093,2,40.6008520,-79.7518877
513487983,1,40.2989021,-79.8507967
513995993,1,40.5449320,-80.0190477
