sp_id,gq_type,persons,stcotrbg,latitude,longitude
450004650,"C",148,"420659512002",40.9473968,-78.9880843
450004651,"C",20,"420659513002",40.9420132,-78.9714095
450008460,"P",79,"420659506001",41.1681764,-79.0548788
450022046,"P",17,"420659506001",41.1623427,-79.0117065
450030495,"N",141,"420659505002",41.1537000,-79.0954820
450030496,"N",189,"420659506001",41.1627710,-79.0569700
450036345,"N",34,"420659513002",40.9441434,-78.9686968
450040313,"N",45,"420659501002",41.2459890,-78.7875650
450042411,"N",33,"420659513002",40.9427010,-78.9768570
450047487,"N",18,"420659503001",41.1977398,-78.8344733
